,Name,Percent_Change
0,LAXMIMACH,-0.012403930958983088
0,HINDUNILVR,-0.012047957349626074
0,GRANULES,-0.0119749450003289
0,SBICARD,-0.011802675800145114
0,DRREDDY,-0.011383658381202841
0,TATAELXSI,-0.010536493320086316
0,MCX,-0.010420686993438826
0,CUB,-0.009740303348236157
0,INOXLEISUR,-0.009664682241586538
0,BERGEPAINT,-0.008592220922250067
0,IDFC,-0.00803208267690027
0,TORNTPHARM,-0.00783297726583485
0,CDSL,-0.007746825932883233
0,JAMNAAUTO,-0.007502260199651505
0,HAL,-0.007354972410394503
0,ASTRAL,-0.006916850625459897
0,GMMPFAUDLR,-0.0067330616974442935
0,AFFLE,-0.006725000242144422
0,M&MFIN,-0.006700235433479946
0,LTI,-0.006633173229218863
0,EMAMILTD,-0.006452412781136342
0,RELAXO,-0.006099110546378653
0,COROMANDEL,-0.005988980516975309
0,RECLTD,-0.005830941772945294
0,BASF,-0.005451755082724723
0,HEROMOTOCO,-0.005432151941991014
0,MAPMYINDIA,-0.004503113834391598
0,CERA,-0.0024834135453899206
0,MINDAIND,-0.002393999104588225
0,PHOENIXLTD,-0.0014084912669672853
0,THERMAX,-0.0012478785911621314
0,AEGISCHEM,-0.0009539563752191917
0,MAXHEALTH,-0.0008017848399370742
0,PGHH,-0.0006468089456495746
0,BSOFT,-0.0002679691860787074
0,ABBOTINDIA,0.00025424141236887743
0,CHOLAHLDNG,0.000560274669429151
0,GODREJCP,0.0009416195856873823
0,BAJAJ-AUTO,0.001166800647437625
0,NAM-INDIA,0.0014039800107181078
0,GALAXYSURF,0.0019163210143275195
0,KARURVYSYA,0.0021834561241092618
0,ITC,0.00334519403418468
0,SONATSOFTW,0.003499853319814072
0,ADANIENT,0.004155796368683531
0,APLLTD,0.005227121967146007
0,LALPATHLAB,0.005867503955362201
0,RADICO,0.008335872256167637
0,FEDERALBNK,0.009983377821913105
0,BOSCHLTD,0.010833490267892704
0,DABUR,0.010978251394843552
0,KRBL,0.011070930476531356
0,WESTLIFE,0.011106325403412658
0,RATNAMANI,0.01133928361047305
0,JUBLINGREA,0.011691744901833051
0,IPCALAB,0.01332815052523398
0,JYOTHYLAB,0.013870928364415322
0,ASHOKLEY,0.014357501480146322
0,WELCORP,0.014561988387905291
0,SOLARINDS,0.014851009184969472
0,SYNGENE,0.015276018592985373
0,KALPATPOWR,0.015749111906576654
0,AVANTIFEED,0.0181410801460816
0,MGL,0.018345563709139426
0,TIINDIA,0.020244953711447723
0,NOCIL,0.022498447018486408
0,STAR,0.022827576559601097
0,ZYDUSWELL,0.022907699512612324
0,SHRIRAMCIT,0.022953252346400648
0,POLYPLEX,0.024863405445442577
0,HATSUN,0.026135427369218447
0,CARBORUNIV,0.02647557141600095
0,LUPIN,0.027900105897834183
0,HEMIPROP,0.027938283345120708
0,NESCO,0.028914272110089585
0,LINDEINDIA,0.02929541453763709
0,DIVISLAB,0.029987368897203142
0,TCIEXP,0.02998767828547841
0,NAUKRI,0.03169391502341797
0,EICHERMOT,0.032572676411286305
0,CHALET,0.03533568977173796
0,FINCABLES,0.035369724699072166
0,OIL,0.03847006298279641
0,BEL,0.04075443053986001
0,CSBBANK,0.04107426699555141
0,RAJESHEXPO,0.04119784429588249
0,IIFL,0.04120342251957845
0,GLS,0.04397416156856274
0,CGPOWER,0.04647207191875163
0,POLYMED,0.04794664473747437
0,NYKAA,0.05055485399033054
0,BORORENEW,0.0515713134568896
0,MARUTI,0.054261982674512
0,EASEMYTRIP,0.05550398996400616
0,AIAENG,0.05581198627459658
0,MRPL,0.055912574594980176
0,TORNTPOWER,0.056699248503371734
0,PRAJIND,0.056742815033161385
0,INDUSTOWER,0.05687208445414436
0,SONACOMS,0.05897884018198888
0,TTML,0.059017758446759834
0,CCL,0.05966188553686861
0,JSWSTEEL,0.060870465462040176
0,INDOCO,0.06113164416765472
0,MFSL,0.062831612561125
0,RBA,0.0642750839632556
0,ENDURANCE,0.06478638751289152
0,3MINDIA,0.06555051505201065
0,RENUKA,0.06636672018685408
0,FINEORG,0.06639745140964301
0,SRTRANSFIN,0.06873446973267758
0,VBL,0.07058141182013733
0,IFBIND,0.07080782992946194
0,ROUTE,0.07163597397263632
0,NAZARA,0.0762736672897982
0,CAMS,0.08039681418257397
0,TVSMOTOR,0.0836205956120044
0,M&M,0.08448938513413784
0,CENTURYTEX,0.087744140625
0,PAYTM,0.08989895195949883
0,KEC,0.09158123407714024
0,LODHA,0.09717543678639559
0,VIPIND,0.0973039253434309
0,CGCL,0.09794497776512213
0,HONAUT,0.10443266556370787
0,AJANTPHARM,0.10627350347415096
0,SUNDARMFIN,0.10806344353562312
0,TIMKEN,0.11825665878202156
0,ITI,0.14002149655653962
0,WELSPUNIND,0.143601219704093
0,HGS,0.15017419738674928
0,ELGIEQUIP,0.15760542730547106
0,SUNTECK,0.1606936416184971
0,MAHINDCIE,0.1656681612781293
0,ASAHIINDIA,0.19977821637680154
